gk_player_id,gk_name,gk_team,league,matches,xGA_pm,goals_conc_pm,saves_pm,save_pct,goals_prevented_pm,clean_sheet_pct,home_matches,home_save_pct,home_gp_pm,away_matches,away_save_pct,away_gp_pm,vs_hard_matches,vs_hard_save_pct,vs_hard_gp_pm,vs_easy_matches,vs_easy_save_pct,vs_easy_gp_pm,win_save_pct,draw_save_pct,loss_save_pct,ha_save_delta,adversity_index,consistency_cv,best_zone,zone_gp_six_yard,zone_gp_pen_area,zone_gp_outside_box,clinical_per_sot,loss_resilience
3286,Kevin Trapp,Paris FC,Ligue_1,20,1.7772,1.3,2.6,61.2,0.4772,35.0,10,48.8,0.2295,10,72.7,0.7249,5,51.4,0.1762,5,55.6,0.2952,68.4,72.7,45.5,-23.9,-0.119,1.73,six_yard,4.531,2.306,2.708,0.1123,45.5
3737,Mike Maignan,AC Milan,Serie_A,34,1.1521,0.8235,2.6765,72.8,0.3286,41.2,17,71.9,0.2394,17,73.5,0.4178,9,79.7,1.07,9,76.5,0.0327,83.3,67.4,54.5,-1.6,1.037,2.455,pen_area,1.61,6.227,3.333,0.0894,54.5
4313,Janis Blaswich,Bayer Leverkusen,Bundesliga,10,1.4318,0.9,3.9,76.5,0.5318,30.0,4,78.6,0.3928,6,75.7,0.6245,3,73.9,1.2663,3,77.8,0.3623,78.3,75.0,75.0,2.9,0.904,1.741,pen_area,1.44,2.666,1.211,0.1043,75.0
4376,Marvin Schwäbe,FC Cologne,Bundesliga,32,1.8337,1.7188,2.7812,60.1,0.1149,9.4,16,55.7,-0.0522,16,64.1,0.2821,8,52.3,0.3714,8,47.6,-0.5221,80.0,58.7,54.5,-8.4,0.894,8.051,pen_area,1.71,2.281,-0.308,0.0249,54.5
4401,Emiliano Martinez,Aston Villa,EPL,30,1.4912,1.1667,3.0667,70.2,0.3245,26.7,16,72.5,0.1424,14,67.7,0.5326,8,70.7,1.0821,8,72.0,0.0448,80.3,80.0,51.1,4.8,1.037,2.812,pen_area,2.899,7.211,-0.374,0.0743,51.1
4748,Brice Samba,Rennes,Ligue_1,31,1.7552,1.3871,2.7742,61.9,0.3681,32.3,16,70.3,0.5407,15,54.7,0.1839,8,55.6,0.2817,8,79.2,0.2495,75.4,61.3,41.9,15.6,0.032,3.62,pen_area,4.772,6.654,-0.008,0.0821,41.9
4984,Wladimiro Falcone,Lecce,Serie_A,35,1.7424,1.3143,2.8571,64.5,0.4281,25.7,17,62.3,0.2508,18,66.3,0.5957,9,58.9,0.7206,9,84.2,0.3349,84.0,79.2,56.6,-4.0,0.386,2.067,six_yard,7.454,5.667,1.864,0.0967,56.6
5185,Unai Simón,Athletic Club,La_Liga,34,1.3046,1.4412,2.6471,63.4,-0.1366,17.6,17,67.8,-0.1592,17,60.2,-0.1139,9,49.0,-0.3687,9,61.9,-0.4359,68.6,80.0,56.1,7.6,0.067,5.525,pen_area,-0.925,2.106,-5.831,-0.0327,56.1
5241,Péter Gulácsi,RasenBallsport Leipzig,Bundesliga,22,1.4595,1.3636,2.3636,61.2,0.0958,40.9,11,64.6,0.1612,11,56.8,0.0305,6,53.7,-0.1842,6,66.7,0.002,79.4,50.0,48.8,7.8,-0.186,11.11,outside_box,2.598,-3.264,2.772,0.0248,48.8
5283,Daniel Heuer Fernandes,Hamburger SV,Bundesliga,32,1.9752,1.5938,3.3125,64.2,0.3815,18.8,16,60.9,0.4406,16,66.3,0.3223,8,61.8,0.755,8,84.0,0.4102,73.0,67.9,60.0,-5.4,0.345,2.708,pen_area,2.136,10.092,-0.021,0.074,60.0
5288,Gregor Kobel,Borussia Dortmund,Bundesliga,33,1.2957,1.0303,2.5152,66.9,0.2654,42.4,17,70.7,0.1981,16,63.6,0.3369,9,55.8,0.6668,8,79.2,0.0559,75.8,57.1,59.3,7.1,0.611,3.557,six_yard,5.105,2.973,0.679,0.0706,59.3
5480,Matvey Safonov,Paris Saint Germain,Ligue_1,13,0.833,0.9231,2.0,66.7,-0.0901,53.8,7,71.4,-0.1641,6,61.1,-0.0037,4,50.0,-0.5672,3,66.7,-0.228,82.6,,43.8,10.3,-0.339,10.479,six_yard,1.871,-1.395,-1.646,-0.03,43.8
5552,Nick Pope,Newcastle United,EPL,24,1.4512,1.4583,3.0,63.7,-0.0071,29.2,12,61.7,-0.0242,12,66.0,0.01,6,52.6,-0.1162,6,94.4,0.2688,68.6,100.0,57.1,-4.3,-0.385,125.301,pen_area,-1.097,3.68,-2.753,-0.0015,57.1
5603,Aaron Ramsdale,Newcastle United,EPL,11,1.7498,1.2727,2.0909,56.1,0.4771,9.1,6,56.5,0.2988,5,55.6,0.691,3,53.3,1.1497,3,50.0,0.1957,66.7,33.3,55.0,0.9,0.954,1.87,six_yard,3.139,1.413,0.698,0.128,55.0
5610,Jean Butez,Como,Serie_A,35,1.0742,0.8,2.2571,71.8,0.2742,48.6,18,66.0,0.1164,17,76.2,0.4412,9,71.1,0.7817,9,58.8,-0.3951,84.1,81.1,41.4,-10.2,1.177,3.866,pen_area,4.686,7.33,-2.421,0.0872,41.4
