team,league,n_players,total_team_minutes,team_avg_xG_p90,team_avg_xA_p90,team_avg_shots_p90,team_avg_key_passes_p90,team_avg_xGChain_p90,team_avg_xGBuildup_p90,team_win_rate,team_draw_rate,xG_herfindahl,xA_herfindahl,home_away_xG_multiplier,vs_top_win_rate,xG_contributors_5pct,team_buildup_ratio,primary_gk_id,primary_gk_name,gk_matches,gk_save_pct,gk_goals_prevented,gk_xGA,gk_goals_conceded,gk_clean_sheets,gk_clean_sheet_pct,gk_adversity_index,gk_ha_save_delta,gk_consistency_cv,gk_best_zone,gk_loss_resilience,gk_depth,total_gk_matches,gk_goals_prevented_per90
"Espanyol,Real Sociedad",La Liga,1,1441,0.0423,0.0545,0.2498,0.6246,0.2247,0.1413,0.3333,0.2778,1.0,1.0,0.0,0.0,1,0.629,,,,,,,,,,,,,,,,,
Everton,Premier League,25,36942,0.1107,0.0839,0.9258,0.6895,0.2816,0.1629,0.2821,0.3846,0.1226,0.0877,1.4521,0.1875,5,0.5785,,,,,,,,,,,,,,,,,
"Everton,Southampton",Premier League,1,753,0.1984,0.2735,3.2271,1.6733,0.4679,0.0769,0.3125,0.4375,1.0,1.0,0.0,0.2,1,0.1643,,,,,,,,,,,,,,,,,
FC Heidenheim,Bundesliga,24,30266,0.1229,0.083,1.13,0.7494,0.2678,0.1412,0.2353,0.1471,0.105,0.0972,1.0817,0.1,8,0.5274,11852.0,Kevin Müller,33.0,58.2,-0.0210000000000003,63.979,64.0,8.0,24.2,-0.593,-4.0,1781.376,pen_area,53.3,2.0,34.0,-0.001
"FC Heidenheim,Mainz 05",Bundesliga,1,793,0.0226,0.0017,0.3405,0.1135,0.0968,0.0968,0.5625,0.125,1.0,1.0,0.0,0.0,1,1.0,11852.0,Kevin Müller,33.0,58.2,-0.0210000000000003,63.979,64.0,8.0,24.2,-0.593,-4.0,1781.376,pen_area,53.3,2.0,34.0,-0.001
"FC Heidenheim,VfB Stuttgart",Bundesliga,1,1306,0.0697,0.1164,0.6202,1.7917,0.2218,0.1173,0.5294,0.1176,1.0,1.0,0.0,0.5,1,0.5291,11852.0,Kevin Müller,33.0,58.2,-0.0210000000000003,63.979,64.0,8.0,24.2,-0.593,-4.0,1781.376,pen_area,53.3,2.0,34.0,-0.001
Fiorentina,Serie A,23,29775,0.1432,0.084,1.0368,0.7466,0.3619,0.2078,0.5,0.2105,0.2519,0.0999,1.2493,0.5,4,0.5743,,,,,,,,,,,,,,,,,
"Fiorentina,Juventus",Serie A,1,1514,0.0529,0.1796,1.3078,1.605,0.5822,0.4779,0.1875,0.4062,1.0,1.0,0.0,0.0,1,0.821,,,,,,,,,,,,,,,,,
"Fiorentina,Monza",Serie A,2,5367,0.0288,0.0269,0.5534,0.3522,0.2555,0.2236,0.3137,0.2353,0.6934,0.8499,0.0,0.0,2,0.8752,,,,,,,,,,,,,,,,,
"Fiorentina,Napoli",Serie A,1,662,0.0837,0.1025,1.3595,0.4079,0.4146,0.2391,0.3,0.2,1.0,1.0,0.0,0.0,1,0.5767,,,,,,,,,,,,,,,,,
